"","Lake_Name","Dev_Index","pLittoral","Depth_Max","X","sampling_year","Area_ha","Secchi_depth","summer_air_temp","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","LaTro_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE","log_dev_index"
"1","Abbess",2.487328,0.2741935486,37.2,1,2010,134.2887726,NA,18.3380434782609,0.0447804959679946,0.87832527900356,0.212937845104544,0.108312906995882,0.204130022661728,0.0634708495823074,0.0383820264952523,1.754,0.859,4.89999250063025,-0.129738276731751,-1.54675496287759,-3.10598259221421,0.561898893949991,-2.75717454018052,-3.26016598898221,-1.58899812218049,-0.151986356997882,0.911209041931292
"2","Argo",2.8705088,0.1755274704,55.5,2,2010,939.9425659,8,18.770652173913,0.0406932422737346,0.76339107130306,0.255885205395419,0.110546684319206,0.156038509342383,0.0709699421729209,0.0653993342997629,4.893,0.795,6.84581877329098,-0.269984834700815,-1.36302635149543,-3.20169323781972,1.58780561230699,-2.64549884125577,-2.7272431994735,-1.85765244743736,-0.229413164327805,1.05448929628886
"3","Atikwa",9.1789411,0.2421729826,59.5,3,2010,5196.498535,4.5,18.4282608695652,0.11736081517949,0.86501536935991,0.669277615848201,0.269974885151551,0.239906056642162,0.0925053630118018,0.128854709440385,0.647,1.787,8.55574031910791,-0.145008004161969,-0.401556333558219,-2.14250219919769,-0.435408984481236,-2.38048865763848,-2.04906979276213,-1.42750786292678,0.580538236177291,2.21691184939536
"4","Aylen",3.1237425,0.12316,67.1,4,2008,2104.572266,5.5,17.5304347826087,0.0243291096032937,1.49901816375406,0.0976689094566312,0.0636236305390606,0.265184094498042,0.0610013354305719,0.105615392768853,0.579,1.205,7.65186752641888,0.404810336294586,-2.32617199517707,-3.71608171951509,-0.546452801409142,-2.796859522744,-2.24795115347608,-1.32733099796661,0.186479566942618,1.13903180220376
"5","Beaverhouse",4.2762117,0.1590842002,64.7,6,2010,1956.608276,3.75,18.7391304347826,0.0234644909861494,0.77946395059742,0.103204250319758,0.0599483243557617,0.225246642291801,0.0443277204995088,0.0263482301438985,1.03,0.526,7.57896778180075,-0.249148838381921,-2.27104524151379,-3.75226702244283,0.0295588022415444,-3.11614505271785,-3.63635417346506,-1.49055928918947,-0.642454066244427,1.45306750082408
"6","Bell",5.647412,0.310461435,34.4,7,2009,4161.751953,3.25,14.6510869565217,0.0280074498895248,0.49400590235509,0.249917147772842,0.0785474199829554,0.140641916812431,0.0347272956207799,0.0350722739758514,1.273,2.621,8.33369140714775,-0.705207813778366,-1.38662582495659,-3.57528473671358,0.241376319575269,-3.36022928393703,-3.35034437587564,-1.96153821592575,0.963555924341269,1.73119738712264
"7","Bending",5.082128,0.259018,45.8,8,2010,1147.116,4.1,18.0630434782609,0.0489972786499906,0.66447370536432,0.179370460626411,0.052888346386601,0.183820086907863,0.146644586511125,0.120539946016739,0.159,7.294,7.04500624540719,-0.408759972169605,-1.71830199940081,-3.01599052016908,-1.83885107676191,-1.91974339858626,-2.11577407877254,-1.69379778826443,1.98705209238649,1.62573007151506
"8","Big_Rideaux",6.5202341,0.431979766,100,9,2009,4583.948242,8.15,18.5173913043478,0.0429843422234726,0.577559049769309,0.366179433484545,0.11769585389336,0.144584844043419,0.0574033741417034,0.0510910375747565,0.243,4.862,8.43031596731861,-0.548944591130647,-1.00463181029444,-3.14691936393943,-1.41469383564159,-2.85765219442776,-2.97414618708158,-1.93388878772848,1.58144987589393,1.87491028020197
"9","Bluffpoint",4.1070405,0.335829493,38.1,10,2010,503.7400818,3.74,18.7858695652174,0.0283759609440258,0.94079229776463,0.100729912565565,0.0532393688898027,0.191783048144698,0.0448358505400901,0.0400661011055241,1.463,1.481,6.22206042433258,-0.061032888771128,-2.29531247703582,-3.56221293788526,0.380489122037987,-3.10474722430886,-3.21722466115149,-1.65139050341744,0.392717535285662,1.41270269613836
"10","Burntroot",3.9638859,NA,19.9,11,2007,1177,3.62,17.9173913043478,0.0331235634883485,0.34652312501303,0.295393951800834,0.0427167806323281,0.132867599116807,0.0632368515572378,0.0535962061248673,0.122222222222222,0.575,7.07072410726028,-1.05980572372477,-1.21944538370234,-3.40751036200558,-2.1019143975319,-2.76086805350264,-2.92627699466297,-2.01840214195734,-0.553385238184787,1.37722483199696
"11","Canoe",3.3436679,NA,42.7,12,2007,367.3,4.36,17.6989130434783,0.0079017230274827,0.80493865004467,0.028809386887322,0.0105310132298556,0.234879210084676,0.0688794079729646,0.0266654295628435,0.0462962962962963,NA,5.90617895282562,-0.216989215592423,-3.54705401135748,-4.8406744385459,-3.07269331469012,-2.67539801394947,-3.62438732544585,-1.44868389662075,NA,1.20706837808972
"12","Carling",6.5320352,0.3201330108,40.9,14,2009,1555.61499,NA,14.4945652173913,0.0120271236648129,0.51072308537848,0.108132759482028,0.0302965279235077,0.0996237751407104,0.0411800749660262,0.0358891085824973,0.486,4.033,7.34962623838842,-0.67192774294607,-2.22439555230937,-4.42059087444054,-0.721546655081643,-3.1898007569367,-3.3273214116207,-2.30635443664535,1.39451051589123,1.87671856394857
"13","Catfish",5.1488434,NA,22.7,16,2007,528.9,3.26,17.9597826086957,0.00546952659014411,0.40726940386555,0.0309903719867023,0.00793876707080357,0.111176374236877,0.0397913453978221,0.0317070195599617,0.571926678621239,0.438732815301853,6.27079937807193,-0.898280386556322,-3.4740787038114,-5.20856321288519,-0.558744480047243,-3.22410584265396,-3.45121718538974,-2.19663738163747,-0.823864672372308,1.63877210692894
"14","Cecil",1.6999148,0.1829363,24.4,17,2009,1560.765503,NA,15.045652173913,0.107032107181426,0.61457485541077,0.777513394822234,0.324224971181797,0.210056322113084,0.0973481140492583,0.0842077465535637,2.506,1.257,7.35293168693753,-0.486824542243129,-0.251654407009967,-2.23462642241523,0.918687856473877,-2.32946192024056,-2.47446836014197,-1.56037958368551,0.22872792960811,0.53057813215918
"15","Charleston",5.1617156,0.2101544204,91.5,18,2008,2642.400879,4,19.745652173913,0.0422225780073203,1.07269487399067,0.214773111292111,0.122726684056103,0.167392112770882,0.0714908792226495,0.100751543568863,0.924,2.909,7.87944320672866,0.0701740560050653,-1.53817310438745,-3.16480017714426,-0.0790432073404529,-2.63818540073865,-2.29509775748995,-1.78741623810078,1.06780937951306,1.64126900485419
"16","Cirrus",6.9842201,0.1557891432,88.6,19,2010,2215.814697,2.5,18.575,0.0142009394937161,0.89807701509275,0.0767844675078126,0.0391145930971515,0.152281232934115,0.0517843698721858,0.0586112403532012,0.692,1.2,7.70337542388342,-0.107499451447844,-2.56675290527501,-4.2544471550342,-0.368169323364468,-2.96066691516854,-2.83682878589225,-1.88202625100656,0.182321556793955,1.9436533329319
"17","Cliff",5.957534,0.3577067392,34.1,20,2009,2236.313477,3.75,15.2173913043478,0.0519753816688205,0.86155908723498,0.424938664830807,0.169700026969193,0.159845804688338,0.0698675982236765,0.0926622892613352,0.729,3.146,7.71258401988681,-0.149011638906456,-0.855810438517731,-2.95698510194957,-0.316081546973479,-2.6611532819381,-2.3787936932624,-1.83354564912356,1.14613180463609,1.78465663706638
"18","Confusion",5.265962,0.3509291,42.7,21,2009,1462.985718,3.75,15.1891304347826,0.073268297842677,0.92272885788159,0.371338013804644,0.146526889871101,0.232769861325819,0.0695544302237614,0.0749172635250209,1.165,1.095,7.28823463883987,-0.0804198494108193,-0.990642542741617,-2.61362726237973,0.152721087017664,-2.66564566424075,-2.59137092736668,-1.45770503316459,0.0907543632684641,1.66126384494478
"19","Conifer",2.5438515,0.173062753,65.8,22,2009,1137.930298,3,15.2369565217391,0.0234923335690027,0.74243326858618,0.138169631438812,0.0576530544708209,0.19973570458067,0.0545641029968518,0.027985483916289,0.863,1.458,7.03696636324981,-0.297822286302195,-1.97927313536438,-3.75108114216324,-0.147340587898709,-2.90837906671922,-3.57606933480015,-1.6107602634516,0.377065633586466,0.933679271132617
"20","Cross",2.5997961,0.2643336528,26.2,23,2010,108.1861496,4.5,18.1608695652174,0.00737198343830405,0.24965307323996,0.0967223620122041,0.0169337425887091,0.0716622249513395,0.0330886675640045,0.0160108257393028,1.966,0.48,4.68385335082502,-1.38768303191718,-2.33591065183851,-4.91006848574463,0.676001021724975,-3.40856442488853,-4.1344901768324,-2.63579151886643,-0.7339691750802,0.955433018875263
"21","Crystal",2.1309959,0.202184244,47,24,2010,623.875061,7.7,18.0989130434783,0.0198843586456356,0.456131458668779,0.233166122535961,0.0461561437890028,0.125959467626849,0.0362136494636934,0.0231970896798948,1.443,0.583,6.43595012556576,-0.784974224459995,-1.45600410720307,-3.9178218540166,0.366724279791734,-3.31831917421044,-3.76372845301085,-2.07179510928374,-0.539568092631645,0.756589429135277
"22","Delaney",2.2981488,0.2536758794,81.4,26,2009,1278.123657,5.38,15.5989130434783,0.0255128398132825,0.45826125847374,0.275509697061949,0.0692339342270989,0.115004835395429,0.0338185398952448,0.0303861112376594,0.926,1.903,7.15314838847267,-0.780315824154432,-1.2891324529616,-3.66857343145296,-0.0768810443359576,-3.38674610926317,-3.49376964214783,-2.16278110458606,0.643431588314012,0.832103929288471
"23","Dogpaw",3.3018769,0.2476806024,24.4,27,2010,1966.936157,3.86,18.7641304347826,0.0178944331079602,0.320941318363889,0.24877597791905,0.0452607973450267,0.0987639948343939,0.0342914345582668,0.0287701005901085,0.767,1.808,7.58423236082114,-1.13649698139893,-1.39120247455084,-4.02326561406111,-0.265268477614881,-3.37285967732914,-3.54841860507066,-2.31502216540025,0.592221261969985,1.1944910643669
"24","Dryberry",8.9940093,0.226957438,105.5,28,2010,10238.58496,7.5,18.5684782608696,0.0226741932713326,0.76112219548662,0.104884002725073,0.0542536335124646,0.222329864731294,0.0422173976079566,0.0231301953444021,0.439,0.663,9.23391870154473,-0.272961361755054,-2.25490027544686,-3.78652786150436,-0.823255865906966,-3.16492287730689,-3.76661635727501,-1.50359312276504,-0.410980288796275,2.19655872237066
"25","Eva",4.4931638,0.389715622,54.9,31,2010,1726.177124,5,17.9304347826087,0.00944148892802543,0.4539819953497,0.123999665615679,0.0270936883396917,0.0699798074962295,0.0396288085337145,0.0512558845075549,0.509,0.754,7.45366448746741,-0.789697739547225,-2.08747641002849,-4.66264158583565,-0.675307262431614,-3.22819893698788,-2.97092484789528,-2.6595485428862,-0.282362910974181,1.50255708613393
"26","Factor",3.46527,0.297957678,49.4,32,2010,640.0227661,5.1,18.4695652173913,0.0155425306951426,0.71048926629189,0.054553523642801,0.0264139862639485,0.201064324414038,0.0410915635051403,0.019476770904001,0.444,4.711,6.4615037477523,-0.341801438818929,-2.90857297405408,-4.16417509690605,-0.811930716549912,-3.19195244606504,-3.9385327591899,-1.60413040015878,1.5499001997179,1.24279055168402
"27","Gilmour",1.2078577,NA,24.4,33,2007,165,4.7,17.7369565217391,0.0830403863931676,0.3969628027576,0.476825053600797,0.115463702284469,0.207496107082706,0.108441538434178,0.0547402323251142,NA,NA,5.10594547390058,-0.92391269850936,-0.740605619307768,-2.48842820647847,NA,-2.22154406749013,-2.90515633122234,-1.57264270053457,NA,0.188848294560647
"28","Hogan",3.8133736,NA,38.2,34,2007,1283.5,3.2,17.9597826086957,0.0568415550919416,1.18549614705882,0.112041655719897,0.069092350506103,0.263428108585447,0.147117236404557,0.15182308355914,1.61535583012267,0.663721712944511,7.1573460003112,0.170161376462217,-2.18888455076389,-2.86748761701522,0.479555260655247,-1.91652548349711,-1.88503935997443,-1.33397478091913,-0.409892324366872,1.33851425666835
"29","Kaiashkons",2.7874746,0.1994601638,58,35,2010,2025.220215,6.65,18.8923913043478,0.0452874846433141,0.66376846912235,0.239060986764686,0.0818403321670695,0.170851858806407,0.0499292780631267,0.0362154061122743,0.515,1.796,7.61343372177614,-0.409821881393372,-1.43103658485452,-3.09472456185426,-0.663588378318401,-2.99714771355419,-3.31827066747326,-1.76695842072347,0.585561969880008,1.0251360246371
"30","Kakagi",5.8924396,0.1122417178,58,36,2010,11061.6709,8.6,18.8097826086957,0.0966787786621053,0.506125293850119,0.522529037314096,0.148873088244739,0.219584555243018,0.076167680035958,0.0577573230948139,0.433,1.13,9.31124133961487,-0.680971024041946,-0.649074722880456,-2.33636135601414,-0.837017550979647,-2.57481805277485,-2.85150513078294,-1.51601790313607,0.122217632724249,1.77367010545741
"31","Katimiagamak",3.2235552,0.2231312936,76.3,37,2010,1078.848267,5.3,18.6532608695652,0.036228268701469,0.67004524739934,0.174988929412801,0.07025420974563,0.162098886976453,0.0772640464583789,0.0674169271741437,0.479,1.549,6.98364933164402,-0.400410035445554,-1.74303256755793,-3.3179155615413,-0.736054681571222,-2.56052654855714,-2.69685914757854,-1.81954871654136,0.437609561434732,1.17048484986575
"32","Lake_of_Bays",5.6816002,0.1528163,70.1,39,2008,6763.313477,4.3,17.6,0.219332261548813,1.66841471837459,0.57012836170923,0.427667210802305,0.300484687758535,0.197711059158672,0.255098789659812,0.233,1.912,8.8192682082677,0.511873905151771,-0.561893747525245,-1.51716752289243,-1.45671682541644,-1.62094861127717,-1.36610439841712,-1.20235848218359,0.64814981462921,1.73723291840804
"33","Longlegged",7.4825556,0.391033699,35.4,40,2009,6760.294434,3,14.9576086956522,0.0471937916225787,0.55789085925793,0.406614477970388,0.113168182003552,0.142778683254044,0.0566467092954858,0.0500224824897056,0.481,10.306,8.81882172341395,-0.583591928459302,-0.899889771018012,-3.05349292846185,-0.731888008876376,-2.87092138153625,-2.99528272482205,-1.94645951715203,2.33272624990603,2.01257439138868
"34","Lower_Manitou",9.7263894,0.1728508834,81,41,2010,8871.666016,6.2,18.5271739130435,0.0509152949930539,0.9194125243372,0.251291915676681,0.119680741006912,0.247468420904407,0.0619670661326901,0.0379064902051841,0.675,1.498,9.09061788359664,-0.0840203734086872,-1.38114000495928,-2.97759190954137,-0.393042588109607,-2.78115222647741,-3.27263293603523,-1.39647229741941,0.404130885095028,2.27484274819432
"35","Pickerel",6.8617711,0.2393315554,74.7,47,2010,5355.734375,3.3,18.3141304347826,0.0241668023380903,0.59025121029772,0.129871101066475,0.0485810614600073,0.147437302189703,0.0431330054454726,0.0455140787029299,0.636,2.661,8.58592311166788,-0.527207052535398,-2.04121285067574,-3.72277539181543,-0.452556715642015,-3.14346678734018,-3.08973357884394,-1.9143522634704,0.978701991995552,1.9259655862582
"36","Pipestone",7.5056151,0.214049,53.4,48,2010,3658.509,4.31,18.7554347826087,0.0116830407058049,0.33268209050195,0.0909138653385915,0.0132009663854793,0.114080419680745,0.0495646002165542,0.0199602469306095,0.171,2.911,8.20481096634566,-1.10056792817925,-2.39784275545292,-4.44961700106207,-1.76609172247948,-3.00447840537154,-3.91401263690232,-2.17085164349451,1.06849666476349,2.0156514204212
"37","Rosseau",5.1040765,0.153,89,52,2011,6297.369141,5.3,19.8891304347826,0.00590864117981837,0.27238904253859,0.0722609738713189,0.0144543428805493,0.0649192331623257,0.0280584463108478,0.0263434350399548,0.516,1.213,8.74788722849519,-1.30052393114511,-2.62747107603103,-5.13133939281197,-0.661648513500574,-3.57346557608857,-3.63653617963018,-2.73461134844609,0.193096629961913,1.63003953417468
"38","Silver",2.4818529,0.075007,91.5,54,2010,2577.643,5.43,18.1565217391304,0.0402895025120514,0.92710903493005,0.17706540389279,0.0483478089139744,0.200740799523825,0.146230608850826,0.18420437134467,0.162,0.492,7.85463069446854,-0.0756840990493579,-1.73123610114303,-3.21166432753316,-1.82015894374975,-1.92257039071506,-1.69170942392965,-1.60574075772195,-0.709276562489829,0.909005418305687
"39","Stormy",4.6873755,0.210594894,36.6,55,2010,3432.499512,4.5,18.2684782608696,0.0167697447375963,0.76998778464994,0.196001983394381,0.0395313343481107,0.152290769090762,0.0401915826240263,0.0534735829992478,1.077,0.747,8.14104399547169,-0.261380628351231,-1.62963050044373,-4.08817892463458,0.0741793981742515,-3.21409769274381,-2.92856752274254,-1.88196363095884,-0.29169009384932,1.54487283094381
"40","Tadpole",3.3379719,0.3359455684,36,57,2010,521.8063354,4.5,18.3010869565217,0.0107660075746298,0.43758214348045,0.083586350994068,0.0236043971000486,0.111306199389016,0.034992087499951,0.0146182536610361,1.303,0.993,6.25729651406242,-0.826490834281776,-2.48187503784196,-4.53136155527407,0.264669298142708,-3.35263331448069,-4.2254842804246,-2.19547032244035,-0.00702461493696447,1.20536340698971
"41","Three_Mile",2.442813154,NA,41.3,60,2007,415,3.8,17.8804347826087,0.00707490113680678,0.42106945402585,0.0964791741453776,0.0109684140041189,0.0882912737571365,0.0377132948175799,0.0461102922633927,0.0674603174603175,0.111111111111111,6.0282785202307,-0.864957484973323,-2.33842810589295,-4.95120180914668,-2.69621574345521,-3.27774259901259,-3.07671909438863,-2.42711400120322,-2.19722457733622,0.893150307156668
"42","Upper_Manitou",5.56681,0.1687696248,56,61,2010,5310.433105,5.5,18.3782608695652,0.0346947205676751,0.68306138087088,0.332261024696981,0.0962000900085944,0.183072069676659,0.0498517759996937,0.0355290593648134,0.541,2.923,8.57742867493995,-0.381170553945884,-1.10183440000707,-3.36116774862832,-0.614336000135655,-2.99870115633441,-3.33740434369275,-1.69787538029906,1.07261048612911,1.71682217892611
"43","Upper_Medicine_Stone",3.7234266,0.2152370304,41.2,62,2009,1076.231812,2.35,14.8521739130435,0.0633258916325245,0.29456348710095,0.465617440080791,0.0986543752672286,0.196925387408643,0.0714625455623754,0.0689142252475371,0.431,2.99,6.98122115617986,-1.22226072322907,-0.764390926048219,-2.75946100293258,-0.841647188878389,-2.63858180482184,-2.67489266004451,-1.62493036610438,1.0952733874026,1.31464437333831
"44","Victoria",3.1060402,0.403481734,28.1,63,2009,926.2330933,3.3,15.0760869565217,0.0244327088646416,0.56451778494755,0.270726534490492,0.0662973977388073,0.148279348577958,0.0385403493393414,0.0284617856923185,3.505,0.854,6.83112592359621,-0.57178339022432,-1.30664606540548,-3.71183251714804,1.25419052048655,-3.25604955170536,-3.55919294435626,-1.9086572938981,-0.157824085193567,1.1333486673343
"45","Wapageisi",2.9206725,0.373418636,48.8,64,2010,1304.994019,5,18.2586956521739,0.0378938040046182,0.50711993233889,0.324996402150597,0.109474102972725,0.138309535066736,0.0635033703771591,0.0350343570225514,0.791,0.38,7.17395373660453,-0.679007750428522,-1.12394116701953,-3.27296766298627,-0.234457311214483,-2.75666229768636,-3.35142606975986,-1.97826109788153,-0.967584026261706,1.0718138979825
"46","White_Partridge",1.6713838,NA,49,65,2007,584.4,4.84,18.2663043478261,0.0157471860293369,0.392014790813151,0.165763781996278,0.024296928729617,0.081951305635497,0.0518940851795923,0.06128822527507,0.383720930232558,0.0697674418604651,6.37058567987654,-0.936455708237294,-1.79719150407406,-4.15109359447696,-0.957839734787028,-2.95855046101601,-2.79216753809447,-2.50163004182041,-2.66258782702545,0.513651906064851
